鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_int
大同區,房地(土地+建物),五原路1~30號,3.65,都市：其他:第三種商業區。,,,1100204,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981216,38.62,1,1,1,有,有,8700000,225272,,0.0,0,,RPUPMLMKLHGGFBA37DA,22.17,1.09,2.53,有,146.0,14
文山區,房地(土地+建物)+車位,辛亥路六段21巷1~30號,80.82,都市：其他:第二種住宅區。,,,1100119,土地8建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880809,215.08999999999997,3,2,2,有,有,30500000,141795,坡道平面,0.0,0,,RPRNMLMJKHGGFAA56DA,109.96,2.21,11.16,有,148.0,22
文山區,房地(土地+建物)+車位,羅斯福路五段241~270號,14.43,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆之壹種住宅區)。,,,1100121,土地4建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960730,100.09,2,1,1,有,有,17400000,173844,坡道機械,18.41,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLMLJHGGFAA09DA,48.98,0.0,11.51,有,,17
中正區,房地(土地+建物)+車位,和平西路一段91~120號,30.38,都市：其他:第三之一種住宅區。,,,1100204,土地2建物1車位2,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000713,290.33,3,2,2,有,有,63100000,217339,坡道機械,46.62,0,其他增建;,RPSOMLTJLHGGFAA57DA,137.92,5.66,15.16,有,150.0,18
文山區,房地(土地+建物),仙岩路22巷1~30號,17.48,都市：其他:第三種住宅區。,,,1100101,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840411,76.61,2,2,1,有,有,14300000,186660,,0.0,0,陽台外推;其他增建;,RPXNMLQKLHGGFAA77DA,48.98,0.0,6.56,有,151.0,15
中山區,房地(土地+建物),錦州街31~60號,3.22,都市：其他:道路用地(公共設施用地)。53/7/15,,,1100204,土地3建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,37.86,1,0,1,有,有,4900000,129424,,0.0,0,其他增建;,RPQRMLPJLHGGFCA47DA,25.83,0.0,4.4,有,,13
內湖區,房地(土地+建物)+車位,江南街91~120號,30.28,都市：其他:第三種住宅區。,,,1100201,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940412,164.12,3,2,2,有,有,32600000,198635,坡道平面,34.01,0,其他增建;,RPRNMLOKLHGGFCA17DA,70.18,4.71,6.63,有,,13
士林區,房地(土地+建物)+車位,天母東路1~30號,77.87,都市：其他:第三種住宅區。,,,1091012,土地2建物1車位3,十七層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050920,671.0799999999999,0,0,0,無,有,236700000,385771,坡道平面,78.5,8100000,,RPPNMLOKLHGGFEA17DA,317.52,14.45,52.84,有,,38
大安區,房地(土地+建物),和平東路三段1巷72弄1~30號,19.94,都市：其他:第三種住宅區。,,,1100131,土地1建物1車位0,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,103.16,3,2,1,有,有,22380000,216945,,0.0,0,其他增建;,RPXNMLSJLHGGFFA38DA,70.48,1.26,7.08,有,,17
大安區,房地(土地+建物),復興南路二段160巷1~30號,10.01,都市：其他:第三種住宅區。,,,1091212,土地2建物2車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080116,91.43,2,2,1,有,有,30500000,333589,,0.0,0,,RPTOMLSJLHGGFFA08DA,51.38,4.15,4.83,有,,15
