鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鳳山區,房地(土地+建物),勇志街61~90號,21.67,都市：其他:第三之一種住宅區,,,1100226,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0621205,27.96,6,3,2,有,無,2860000,102289,,0.0,0,,RPTNMLKKLHGGFGE77DA,27.96,0.0,0.0,無,
鳳山區,房地(土地+建物),南正二路181~210號,57.0,都市：其他:第三之一種住宅區,,,1100121,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0740415,144.2,5,2,3,有,無,11000000,76283,,0.0,0,未登記建物;,RPQNMLTJLHGGFGE28DA,144.2,0.0,0.0,無,0061
鳳山區,房地(土地+建物),仁義街61~90號,24.2,都市：其他:第三之一種住宅區,,,1100303,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690820,71.42,3,2,2,有,無,4950000,69308,,0.0,0,,RPWNMLTJLHGGFGE88DA,71.42,0.0,0.0,無,0062
鳳山區,房地(土地+建物),文學街1~30號,26.52,都市：其他:第三之一種住宅區,,,1100131,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711208,83.85,3,2,2,有,無,3770000,44961,,0.0,0,,RPROMLSJLHGGFGE38DA,77.05,0.0,6.8,無,0063
鳳山區,房地(土地+建物),建國路三段55巷4弄1~30號,62.0,都市：其他:第三之一種住宅區,,,1100115,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0640306,83.22,4,2,2,有,無,5800000,69695,,0.0,0,其他增建;,RPVNMLSJLHGGFGE68DA,83.22,0.0,0.0,無,0064
鳳山區,房地(土地+建物),立人街61~90號,117.0,都市：其他:第三之一種住宅區,,,1100111,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0741215,142.86,4,2,3,有,無,12300000,86098,,0.0,0,其他增建;,RPUNMLMJLHGGFGE97DA,137.4,0.0,5.46,無,
鳳山區,房地(土地+建物),永誠街121~150號,63.0,都市：其他:第三之一種住宅區,,,1100210,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0710630,74.4,4,2,2,有,無,5250000,70565,,0.0,0,其他增建;,RPUOMLSKKHGGFGE68DA,74.4,0.0,0.0,無,
鳳山區,房地(土地+建物)+車位,文殿街61~90號,18.88,都市：其他:第三之一種住宅區,,,1100126,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000912,132.23,3,2,2,有,有,8505000,64320,坡道平面,21.03,0,,RPQOMLNLKHGGFGE87DA,60.75,4.47,8.02,有,0065
鳳山區,房地(土地+建物),王生明路23巷31~60號,27.8,都市：其他:第三之一種住宅區,,,1100223,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731020,95.93,3,2,2,有,無,1300000,13550,,0.0,0,,RPUNMLOLKHGGFGE28DA,78.43,0.0,9.6,無,
鳳山區,房地(土地+建物),明昌西街1~30號,72.0,都市：其他:第三之一種住宅區,,,1100125,土地1建物1車位0,全,四層,透天厝,店舖、住宅、門廊、樓梯間,鋼筋混凝土,0950523,220.59,5,3,5,有,無,17060000,77338,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPRRMLPLJHGGFGE38DA,189.87,0.0,30.72,無,
鳳山區,房地(土地+建物)+車位,濱山街55巷1~30號,34.29,都市：其他:第三之一種住宅區,,,1100207,土地1建物1車位1,一層，地下層,八層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850108,221.32,5,2,3,有,有,9230000,41704,一樓平面,0.0,0,,RPUNMLRKKHGGFGE48DA,119.25,0.0,5.2,無,
燕巢區,房地(土地+建物),安南路31~60號,230.81,都市：其他:住宅區,,,1100220,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0881126,198.02,3,1,2,有,無,9000000,45450,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;,RPPOMLKKLHGGFFE37DA,191.69,6.33,0.0,無,
岡山區,房地(土地+建物),頂潭路63巷22弄1~30號,110.83,,鄉村區,乙種建築用地,1080716,土地4建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1091229,228.81,5,2,4,有,有,8500000,37149,,0.0,0,,RPQNMLKKLHGGFFE37DA,217.74,11.07,0.0,無,
岡山區,房地(土地+建物),頂潭路63巷22弄1~30號,161.6,,鄉村區,乙種建築用地,1081014,土地4建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1091229,258.99,5,2,4,有,有,11000000,42473,,0.0,0,,RPRNMLKKLHGGFFE47DA,244.3,14.69,0.0,無,
岡山區,房地(土地+建物),頂潭路63巷22弄1~30號,107.32,,鄉村區,乙種建築用地,1090416,土地4建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1091229,206.76,5,2,4,有,有,8100000,39176,,0.0,0,,RPSNMLKKLHGGFFE57DA,194.74,12.02,0.0,無,
岡山區,房地(土地+建物),頂潭路63巷1~30號,151.25,,鄉村區,乙種建築用地,1080712,土地4建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1091229,239.98,5,2,4,有,有,10880000,45337,,0.0,0,,RPTNMLKKLHGGFFE67DA,228.65,11.33,0.0,無,
岡山區,房地(土地+建物),本洲路331~360號,108.81,,一般農業區,甲種建築用地,1100201,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0660722,117.3,4,2,3,有,無,7600000,64791,,0.0,0,頂樓加蓋;其他增建;,RPWNMLTJLHGGFFE78DA,117.3,0.0,0.0,無,
岡山區,房地(土地+建物),祐民巷1~30號,648.31,,特定農業區,甲種建築用地,1091203,土地2建物2車位0,全,二層,透天厝,住家用,加強磚造,0801107,345.28,10,4,6,有,無,12500000,36203,,0.0,0,頂樓加蓋;其他增建;,RPPOMLTJLHGGFFE18DA,345.28,0.0,0.0,無,
橋頭區,房地(土地+建物),樹德路1~30號,12.95,都市：其他:商業區,,,1100128,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,133.05,4,2,2,有,有,4450000,33446,,0.0,0,贈送全屋燈飾,RPVOMLTJLHGGFFE78DA,93.61,8.58,0.0,有,0066
岡山區,房地(土地+建物)+車位,岡山路89巷1~30號,33.4,都市：其他:住宅區,,,1100121,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950512,168.0,3,2,2,有,有,6400000,38095,坡道平面,0.0,0,,RPQNMLQJLHGGFFE87DA,91.85,13.32,0.0,有,
燕巢區,房地(土地+建物),安林路31~60號,326.63,都市：其他:甲種工業區,,,1091013,土地1建物1車位0,全,四層,透天厝,工業用,鋼筋混凝土造,0830203,425.05,3,1,3,有,無,20500000,48230,,0.0,0,,RPPOMLSJLHGGFFE08DA,397.32,27.73,0.0,無,
岡山區,房地(土地+建物),灣裡路15巷21弄1~30號,80.78,都市：其他:住宅區,,,1100207,土地2建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1090331,200.14,4,2,4,有,有,12620000,63056,,0.0,0,,RPUOMLSJLHGGFFE58DA,179.33,20.81,0.0,無,
